Street,Area,City,Price,sqm,Rooms,Url,PricePerSqm,lat,lng,stations,supermarkets
Schnackenburgstr. 12-13,Friedenau(Schöneberg), Berlin,409.0,32.0,1,https://www.immobilienscout24.de/expose/115230398,12.78125,52.474258,13.3339495,"(['Breslauer Platz (Berlin)', 'Hähnelstr. (Berlin)', 'U Friedrich-Wilhelm-Pl (Bln) [Bus Schmiljanstr.]', 'Wexstr. (Berlin)'], ['ChIJq80ZfnpQqEcR6mm47Daazn0', 'ChIJS7aCwW9QqEcRP6LxGU7n14o', 'ChIJX0NP5ntQqEcR27KG3C-Nln0', 'ChIJ7_-xemRQqEcRWttkU2v8BL0'])","(['Netto Filiale', 'EDEKA Scheibner', ""denn's Biomarkt"", 'REWE', 'Nahkauf', 'EDEKA Görse & Meichsner'], ['ChIJqT1BZXpQqEcRWVuN3KjkSsY', 'ChIJz8ZckHBQqEcRQvX9NK_9q80', 'ChIJxx-NG3pQqEcRtZZ9XYVgpes', 'ChIJgc1cinlQqEcRZj9G8EIzi64', 'ChIJST8Si3xQqEcRICys7YXG2ZA', 'ChIJn88nkNNRqEcRO2dRLeG_vHo'])"
Emdener Straße 29,Tiergarten(Tiergarten), Berlin,318.14,36.61,1,https://www.immobilienscout24.de/expose/115205963,8.689975416552855,52.530583,13.3341645,"(['Wittstocker Str. (Berlin)', 'Rathaus Tiergarten'], ['ChIJQWT0x2xRqEcRK4UQYGwRp3E', 'ChIJjynZfQxRqEcRBGm2oXY-MKM'])","(['Arminius Market Hall', 'NORMA Filiale', 'dm-drogerie markt', 'Alnatura Super Natur Markt', 'PENNY-Markt Discounter', 'REWE', 'Eurogida Moabit', 'REWE', 'EDEKA Vaupel', 'Adler Getränke', 'BIO COMPANY Turmstraße', 'Mäc-Geiz Handelsgesellschaft mbH', 'سوبر ماركت خيرات حماه', 'Mini Market Soq Alhamidia', 'Neue Markt Handels GmbH', 'Edeka Simon', 'DOGAN Supermarkt GmbH'], ['ChIJhX6bwAxRqEcRkZurgyAaAMU', 'ChIJW24JMnNRqEcR1BZgGTNE_4Q', 'ChIJdayMDQtRqEcRA2qB2KyvQME', 'ChIJRSucgQ1RqEcRhfRniQOPqeM', 'ChIJz_sXfRJRqEcRACl-UDx3IQU', 'ChIJ_TCi_hJRqEcRk7fVfl3V1cc', 'ChIJ_VI_DA1RqEcRFZdwPlVgPDs', 'ChIJrxglfA1RqEcRjzUZeIfN-IM', 'ChIJdUYr2XJRqEcRW-O-peJOxh8', 'ChIJAfRDoHJRqEcRCXYLzADafWA', 'ChIJFyCsCA1RqEcRqqaxztvsTNw', 'ChIJ79NH9xJRqEcRtDqYoxpXG80', 'ChIJ0wLvWYlRqEcRQvarVGjaOhI', 'ChIJT7iCymxRqEcR8XJU9ylJqaw', 'ChIJ8xHRiWxRqEcR9lkQBO-rAXU', 'ChIJ82ZhhWxRqEcR5tk10cQ6vEI', 'ChIJPy0GBBNRqEcRjKtDxpvVq80'])"
Eichborndamm 39,Reinickendorf(Reinickendorf), Berlin,458.42,50.0,2,https://www.immobilienscout24.de/expose/84230002,9.1684,52.57165,13.31308,"(['Eichborndamm/Antonienstr. (Berlin)', 'Auguste-Viktoria-Allee/Quäkerstr. (Berlin)', 'General-Woyna-Str. (Berlin)', 'Kienhorststr. (Berlin)', 'Zobeltitzstr. (Berlin)', 'Foxweg'], ['ChIJPX7xSPRTqEcR7YPFZ59LiB8', 'ChIJbwXxi_VTqEcRY4l2ZRGiJGI', 'ChIJM7udv_NTqEcR-ltI7UzjZb0', 'ChIJcTPc1vRTqEcRz7inb3A1Znc', 'ChIJTVIqe_FTqEcRZVyj7PvfX1o', 'ChIJAR2WkApUqEcRWO7Scjj_vmc'])","(['nahkauf', 'EDEKA Görse & Meichsner', 'Intermarkt', 'Super Market Bilad Alsham سوبر ماركت بلاد الشام', 'Nah und Gut Babbel', 'Edeka'], ['ChIJ1xrMTvRTqEcRR-bgie6J4e8', 'ChIJoTKmKItTqEcReUciKS4wlVI', 'ChIJJwatzvRTqEcR_XpsSmTZVk8', 'ChIJn7Y8PvRTqEcRKokxp68TVuk', 'ChIJ9ykVh_VTqEcR5pAF0JBMD88', 'ChIJqf4oKItTqEcRWFHCxW483Do'])"
Mariendorfer Weg 49,Neukölln(Neukölln), Berlin,1057.0,68.22,3,https://www.immobilienscout24.de/expose/114864184,15.493990032248607,52.46287340000001,13.4227189,"(['Mariendorfer Weg (Berlin)', 'Eschersheimer Str. (Berlin)', 'Haus Bremen (Berlin)', 'Bambachstr. (Berlin)', 'Bergholzstr. (Berlin)'], ['ChIJYR5bjY9PqEcRBkHrs7qfOzQ', 'ChIJx2-R1ZFPqEcRUSKpg-kyHCs', 'ChIJvw0uMYVPqEcRGOaJQmAEcm4', 'ChIJMRvzoppPqEcRgKOdCupcKnA', 'ChIJuQ8GS4lPqEcRggeIotRU7vk'])","(['ALDI Berlin-Neukölln'], ['ChIJfV1jLJBPqEcRUDDgrKffSsA'])"
Danziger Straße 73,PrenzlauerBerg(PrenzlauerBerg), Berlin,1459.0,75.02,2,https://www.immobilienscout24.de/expose/113885749,19.44814716075713,52.5395352,13.4253634,"(['Prenzlauer Allee/Danziger Str. (Berlin)', 'Fröbelstr. (Berlin)', 'Winsstr. (Berlin)', 'Husemannstr. (Berlin)'], ['ChIJoQjXNgdOqEcR6UYWPRNLYVM', 'ChIJ2cRS3f1NqEcR36PXRM5eNLM', 'ChIJ8ZbVygdOqEcRZ_L0T3IZNuQ', 'ChIJW_U9QgBOqEcRyEhuvGx8cBA'])","([""denn's Biomarkt"", 'Lidl', 'PENNY', 'Arin Spätkauf', 'Lidl', 'Nah und Gut Bülow'], ['ChIJ-fjVPwdOqEcRdax4GWuACAU', 'ChIJiZmjrwZOqEcRizPTJid4SCs', 'ChIJq9QQLPxNqEcRuaDfCDUObsA', 'ChIJrwMgMjRPqEcRJqPXq_tvfnM', 'ChIJ_VIpcjhPqEcRvpY8A7m1stc', 'ChIJYdd-xQRNqEcRW9NopiFE8Cw'])"
Stallschreiberstraße 27,Mitte(Mitte), Berlin,1799.0,95.8,4,https://www.immobilienscout24.de/expose/115478066,18.778705636743215,52.50852099999999,13.4064994,"(['U Spittelmarkt', 'Alexandrinenstraße', 'Waldeckpark (Berlin)', 'Heinrich-Heine-Str./Annenstr. (Berlin)'], ['ChIJ2_eXwidOqEcRBt9oBQequzY', 'ChIJ9R3XWClOqEcRz_T0H1pjFRg', 'ChIJRVQ8kilOqEcRGz2CyU9ksNQ', 'ChIJwfZLlC9OqEcRspYQk3YnEc4'])","(['Netto Filiale', 'Lidl', 'Alnatura Super Natur Markt', 'International Supermarket'], ['ChIJA2mozyFOqEcRlcdtyH14Hfw', 'ChIJmbp8HiZOqEcRbKKAwF5KDY8', 'ChIJT0eLpyhOqEcR5bZVXpRug64', 'ChIJjYS4qC5OqEcRRj2yuggYRi8'])"
Schöneberger Ufer 5,Kreuzberg(Kreuzberg), Berlin,887.68,24.82,1,https://www.immobilienscout24.de/expose/115238928,35.76470588235294,52.5026968,13.3739203,"(['Potsdamer Platz', 'U Mendelssohn-Bartholdy-Park', 'Schöneberger Brücke (Berlin)', 'Gleisdreieck'], ['ChIJlXfHR8tRqEcR9JnR0W210hI', 'ChIJS7MfocxRqEcRTb6O3ThkZa8', 'ChIJTQO0LjNQqEcRuOU5imUvAC4', 'ChIJ98LWuDNQqEcR6OnDFWwJUu8'])","(['Minimarkt'], ['ChIJ28ZIwjRQqEcRacWNHvwo6hg'])"
Fraunhoferstraße  22,Charlottenburg(Charlottenburg), Berlin,2355.86,168.24,5,https://www.immobilienscout24.de/expose/110356560,14.002971944840704,52.5157874,13.3180435,"(['Guerickestr. (Berlin)', 'Otto-Suhr-Allee/Leibnizstr. (Berlin)', 'Marchstr. (Berlin)', 'Dovebrücke (Berlin)', 'Marchbrücke (Berlin)', 'Warburgzeile (Berlin)'], ['ChIJ2Xg5CRlRqEcRTXrmFejaBvo', 'ChIJK9IG2h5RqEcRzWCa9IJY1v4', 'ChIJn7F9jhxRqEcREq-ryYz39XM', 'ChIJ6_qaiRlRqEcR5M-SXmfIgFI', 'ChIJ-ZDy_xpRqEcRp2L7ZNxAFPQ', 'ChIJ09V-HCJRqEcRcy9PNJyHcU8'])","(['Primacent inc', 'REWE To GO'], ['ChIJ75g6iBlRqEcRrwSEd6EQQx0', 'ChIJBZmOf01RqEcRWhP8C-Osyro'])"
Bismarckstraße  80,Charlottenburg(Charlottenburg), Berlin,2225.7,148.38,3,https://www.immobilienscout24.de/expose/111917240,15.0,52.5112079,13.304678,"(['Deutsche Oper', 'U Bismarckstraße', 'Bismarckstr./Kaiser-Friedrich-Str. (Berlin)'], ['ChIJV28Qkx9RqEcR-c0uZCiJ8HQ', 'ChIJaen-hiBRqEcRDFIX8f5OAk8', 'ChIJkzjfVN9QqEcRnShH5wYcV1M'])","(['Lidl', 'Hit Ullrich Verbrauchermarkt', 'Alnatura', 'Nazar Market GmbH', 'PENNY', 'HiT Ullrich Getränkemarkt', 'REWE', 'dm-drogerie markt', 'dm-drogerie markt', 'Netto Filiale', 'EDEKA', 'Eurogida'], ['ChIJEV16lt9QqEcRFzb320ncnXk', 'ChIJS9ztHyFRqEcRw0oXzI8jkGY', 'ChIJBWnypt9QqEcRupMYgC47iMY', 'ChIJmyKzh99QqEcRe-Sj1wfhCWU', 'ChIJSRZc6SBRqEcRogSlX97bckc', 'ChIJqxcpIiFRqEcRx0xebHfL6Rc', 'ChIJXXcp9B9RqEcRs8TpySyBtN4', 'ChIJBWnypt9QqEcRkvtHaMYGOAk', 'ChIJEV16lt9QqEcR--Ow5k4lrAw', 'ChIJ9zLK2CNRqEcRslxjdm0scdc', 'ChIJTyk-jddQqEcRdQePRSfYvHg', 'ChIJBWnypt9QqEcRBYzyjLrLxxU'])"
Zeppelinstr. 85,Spandau(Spandau), Berlin,497.17,60.52,2,https://www.immobilienscout24.de/expose/115168796,8.214970257766028,52.5463376,13.184756,"(['Falkenseer Chaussee/Zeppelinstr. (Berlin)', 'Merziger Str. (Berlin)', 'Zweibrücker Str. (Berlin)', 'Hohenzollernring/Falkenseer Chaussee (Berlin)', 'Westerwaldstr. (Berlin)', 'Spekteweg (Berlin)'], ['ChIJwyvzZhhWqEcRZbPHtt4mXBQ', 'ChIJF9q77iJWqEcRHLT10phpwBs', 'ChIJF9Xi8BdWqEcRKRQIVdP7sDE', 'ChIJk7h20hdWqEcR0eIQWxjsnT0', 'ChIJ2-xSEh9WqEcRWqG-V6HOmdI', 'ChIJqwD8QiNWqEcReJWOk5IhPzg'])","(['dm-drogerie markt', 'Nah und Gut Bach', 'ALDI Berlin-Falkenhagener Feld'], ['ChIJEd_Rah9WqEcRo4iaPg9XcvI', 'ChIJ7U2SEhhWqEcRjbiZNpzTNV4', 'ChIJKyBDxyFWqEcRKG3oEcL8ILs'])"
